"货品名称","货品编号","店铺","省份","货品数量","货品价格"
"XML-3DPEN-Magic-1-2020v1标准粉",="101010007","小马良淘宝店","山西省","1","172.3600"
"XML-3DPEN-Parts-pcl-16色16米",="101020028","小马良淘宝店","山西省","1","0.0000"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良淘宝店","山西省","1","0.0000"
"XML-BOX-Ornament-neonlight-炫彩四件套",="101030004","小马良淘宝店","山西省","1","44.9000"
"XML-3DPEN-Magic-1-2020v1标准蓝",="101010008","小马良淘宝店","内蒙古自治区","1","172.3600"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良淘宝店","内蒙古自治区","1","0.0000"
"XML-3DPEN-Magic-1-2020v1标准蓝",="101010008","小马良淘宝店","辽宁省","1","160.4830"
"XML-Parts-pcl-1-16色48米",="101020001","小马良淘宝店","辽宁省","1","40.9770"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良淘宝店","辽宁省","1","0.0000"
"XML-3DPEN-Magic-1-2020v1礼盒蓝",="101010011","小马良淘宝店","江苏省","1","233.5749"
"XML-Parts-pcl-1-16色48米",="101020001","小马良淘宝店","江苏省","1","43.4351"
"XML-3DPEN-Parts-pcl-16色16米",="101020028","小马良淘宝店","江苏省","1","0.0000"
"礼品袋（非卖品，2020v1礼盒款专用）",="201040036","小马良淘宝店","江苏省","1","0.0000"
"XML-3DPEN-Magic-1-2020v1标准粉",="101010007","小马良淘宝店","江西省","1","164.3465"
"XML-Parts-pcl-1-16色48米",="101020001","小马良淘宝店","江西省","1","41.9635"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良淘宝店","江西省","1","0.0000"
"小马良邮费",="101040001","小马良淘宝店","江西省","12","12.0000"
"XML-Parts-pcl-1-50米炫彩色",="101020041","小马良淘宝店","河南省","2","83.1400"
"XML-3DPEN-Magic-1-裸笔粉",="101010005","小马良淘宝店","湖北省","1","150.0000"
"XML-3DPEN-Magic-1-2020v1标准蓝",="101010008","小马良淘宝店","贵州省","1","153.1622"
"XML-Parts-pcl-1-16色48米",="101020001","小马良淘宝店","贵州省","1","39.1078"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良淘宝店","贵州省","1","0.0000"
"XML-3DPEN-Magic-1-2020V1标准粉G",="101010022","小马良天猫旗舰店","北京","1","165.5145"
"XML-Parts-pcl-1-16色48米",="101020001","小马良天猫旗舰店","北京","1","42.2355"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良天猫旗舰店","北京","1","0.0000"
"XML-3DPEN-Magic-1-2020V1标准蓝G",="101010023","小马良天猫旗舰店","河北省","3","484.7218"
"XML-3DPEN-Cartoon-1-2020v1官方标配蓝",="101010028","小马良天猫旗舰店","河北省","1","123.0000"
"XML-Parts-pcl-1-16色48米",="101020001","小马良天猫旗舰店","河北省","1","40.9568"
"XML-3DPEN-Parts-pcl-16色16米",="101020028","小马良天猫旗舰店","河北省","2","0.0000"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良天猫旗舰店","河北省","3","0.0000"
"XML-BOX-Ornament-neonlight-炫彩四件套",="101030004","小马良天猫旗舰店","河北省","1","44.3014"
"XML-BOX-Stationery-student-文具礼包蓝",="101030006","小马良天猫旗舰店","河北省","1","0.0000"
"XML-3DPEN-Magic-1-2020V1标准粉G",="101010022","小马良天猫旗舰店","山西省","1","161.3159"
"XML-Parts-pcl-1-16色48米",="101020001","小马良天猫旗舰店","山西省","1","41.1641"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良天猫旗舰店","山西省","1","0.0000"
"XML-3DPEN-Magic-1-2020V1礼盒粉G",="101010024","小马良天猫旗舰店","辽宁省","1","214.4764"
"XML-Parts-pcl-1-16色48米",="101020001","小马良天猫旗舰店","辽宁省","1","39.8836"
"XML-3DPEN-Parts-pcl-16色16米",="101020028","小马良天猫旗舰店","辽宁省","1","0.0000"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良天猫旗舰店","辽宁省","1","0.0000"
"礼品袋（非卖品，2020v1礼盒款专用）",="201040036","小马良天猫旗舰店","辽宁省","1","0.0000"
"XML-3DPEN-Magic-1-2020V1礼盒蓝G",="101010025","小马良天猫旗舰店","吉林省","1","221.7616"
"XML-Parts-pcl-1-16色48米",="101020001","小马良天猫旗舰店","吉林省","1","41.2384"
"XML-3DPEN-Parts-pcl-16色16米",="101020028","小马良天猫旗舰店","吉林省","1","0.0000"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良天猫旗舰店","吉林省","1","0.0000"
"礼品袋（非卖品，2020v1礼盒款专用）",="201040036","小马良天猫旗舰店","吉林省","1","0.0000"
"XML-3DPEN-Magic-1-2020V1礼盒粉G",="101010024","小马良天猫旗舰店","上海","1","234.1904"
"XML-3DPEN-Magic-1-2020V1礼盒蓝G",="101010025","小马良天猫旗舰店","上海","1","214.4764"
"XML-Parts-pcl-1-16色48米",="101020001","小马良天猫旗舰店","上海","2","83.4332"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良天猫旗舰店","上海","2","0.0000"
"礼品袋（非卖品，2020v1礼盒款专用）",="201040036","小马良天猫旗舰店","上海","2","0.0000"
"XML-3DPEN-Magic-1-2020V1标准粉G",="101010022","小马良天猫旗舰店","江苏省","2","325.5317"
"XML-3DPEN-Magic-1-2020V1标准蓝G",="101010023","小马良天猫旗舰店","江苏省","1","153.7631"
"XML-Parts-pcl-1-16色48米",="101020001","小马良天猫旗舰店","江苏省","3","122.3052"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良天猫旗舰店","江苏省","3","0.0000"
"XML-Parts-pcl-1-50米炫彩色",="101020041","小马良天猫旗舰店","江苏省","1","43.6500"
"XML-3DPEN-Magic-1-2020V1标准粉G",="101010022","小马良天猫旗舰店","浙江省","2","327.7864"
"XML-3DPEN-Magic-1-2020V1标准蓝G",="101010023","小马良天猫旗舰店","浙江省","2","176.3100"
"XML-Parts-pcl-1-16色48米",="101020001","小马良天猫旗舰店","浙江省","2","83.6436"
"XML-3DPEN-Parts-card-好评返现卡",="101020029","小马良天猫旗舰店","浙江省","3","0.0000"
"XML-Parts-pcl-1-50米炫彩色",="101020041","小马良天猫旗舰店","浙江省","1","45.0000"
"XML-3DPEN-Magic-1-2020v1标准粉",="101010007","小马良天猫旗舰店","安徽省","1","0.0000"
"XML-3DPEN-Magic-1-2020V1标准粉G",="101010022","小马良天猫旗舰店","安徽省","1","0.0000"
"XML-3DPEN-Magic-1-2020V1标准粉G",="101010022","小马良天猫旗舰店","山东省","1","160.9494"
"XML-3DPEN-Magic-1-2020V1礼盒粉G",="101010024","小马良天猫旗舰店","山东省","1","231.5259"
"XML-Parts-pcl-1-16色48米",="101020001","小马良天猫旗舰店","山东省","2","84.1247"
"XML-3DPEN-Parts-pcl-16色16米",="101020028","小马良天猫旗舰店","山东省","1","0.0000"
